10:50:54(317) , [EZNET:EVENT]  =========================================================
10:50:54(318) , [EZNET:EVENT]  
10:50:54(333) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
10:50:54(333) , [EZNET:EVENT]  
10:50:54(333) , [EZNET:EVENT]  =========================================================
10:50:54(333) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
10:50:54(333) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
10:50:54(349) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
10:50:54(349) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
10:50:54(349) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
10:50:54(349) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
10:50:54(349) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
10:50:54(364) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
10:52:45(634) , [EZNET:EVENT]  =========================================================
10:52:45(634) , [EZNET:EVENT]  
10:52:45(653) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
10:52:45(653) , [EZNET:EVENT]  
10:52:45(653) , [EZNET:EVENT]  =========================================================
10:52:45(653) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
10:52:45(653) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
10:52:45(667) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
10:52:45(667) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
